iter	Passed	Remaining
0	143	143715
1	145	72474
2	147	48908
3	148	37067
4	150	29993
5	155	25686
6	156	22263
7	158	19680
8	160	17671
9	162	16070
10	167	15101
11	169	13943
12	171	12994
13	173	12190
14	176	11563
15	178	11007
16	180	10442
17	182	9949
18	185	9561
19	186	9160
20	191	8935
21	193	8604
22	195	8292
23	197	8044
24	199	7783
25	202	7577
26	203	7344
27	205	7144
28	208	6981
29	210	6796
30	211	6626
31	214	6489
32	216	6344
33	218	6206
34	220	6073
35	222	5945
36	225	5864
37	227	5770
38	230	5684
39	232	5576
40	234	5474
41	235	5379
42	238	5317
43	241	5251
44	243	5165
45	244	5080
46	246	5001
47	249	4939
48	252	4892
49	253	4821
50	255	4754
51	257	4689
52	258	4627
53	261	4579
54	262	4515
55	264	4457
56	266	4402
57	267	4352
58	270	4317
59	272	4265
60	273	4216
61	275	4169
62	277	4122
63	278	4079
64	283	4071
65	284	4029
66	286	3990
67	287	3944
68	289	3909
69	296	3944
70	298	3909
71	300	3871
72	302	3838
73	305	3820
74	307	3788
75	309	3758
76	310	3727
77	313	3703
78	319	3723
79	320	3690
80	322	3664
81	324	3636
82	326	3610
83	328	3583
84	329	3552
85	331	3527
86	333	3496
87	336	3491
88	339	3471
89	341	3448
90	343	3430
91	345	3413
92	348	3398
93	350	3381
94	352	3354
95	353	3332
96	356	3317
97	358	3300
98	361	3286
99	363	3269
100	364	3247
101	366	3222
102	368	3210
103	370	3195
104	373	3181
105	374	3161
106	376	3142
107	378	3130
108	380	3111
109	383	3104
110	385	3088
111	387	3070
112	389	3059
113	391	3041
114	394	3033
115	395	3013
116	397	2997
117	398	2981
118	399	2961
119	401	2945
120	404	2937
121	406	2922
122	407	2903
123	409	2895
124	411	2882
125	413	2868
126	416	2862
127	418	2847
128	420	2839
129	422	2826
130	424	2813
131	426	2807
132	428	2795
133	431	2790
134	433	2777
135	435	2766
136	438	2760
137	439	2747
138	443	2745
139	446	2742
140	448	2730
141	451	2727
142	453	2719
143	455	2706
144	457	2695
145	459	2688
146	461	2679
147	464	2674
148	467	2667
149	468	2657
150	477	2682
151	478	2671
152	480	2659
153	483	2655
154	486	2652
155	488	2641
156	490	2632
157	492	2626
158	494	2615
159	496	2607
160	498	2598
161	500	2591
162	502	2582
163	504	2570
164	506	2561
165	508	2552
166	510	2545
167	512	2537
168	514	2527
169	517	2528
170	520	2522
171	522	2513
172	523	2504
173	525	2496
174	531	2503
175	533	2498
176	535	2489
177	537	2481
178	539	2472
179	541	2464
180	542	2453
181	544	2445
182	545	2436
183	547	2428
184	550	2426
185	552	2419
186	554	2411
187	556	2403
188	558	2395
189	561	2392
190	562	2384
191	564	2376
192	566	2368
193	568	2361
194	570	2353
195	572	2347
196	574	2341
197	576	2334
198	578	2327
199	579	2318
200	583	2318
201	584	2310
202	587	2305
203	589	2301
204	591	2293
205	593	2285
206	595	2281
207	597	2274
208	602	2278
209	603	2271
210	606	2267
211	607	2259
212	609	2253
213	611	2245
214	613	2239
215	616	2238
216	622	2244
217	623	2237
218	625	2231
219	628	2227
220	630	2221
221	635	2227
222	637	2221
223	639	2215
224	641	2209
225	643	2203
226	648	2209
227	650	2202
228	653	2199
229	655	2192
230	656	2186
231	658	2180
232	660	2174
233	663	2171
234	665	2165
235	666	2159
236	672	2164
237	674	2159
238	675	2152
239	677	2146
240	679	2140
241	682	2136
242	684	2132
243	686	2126
244	688	2121
245	690	2115
246	692	2111
247	694	2105
248	696	2099
249	697	2093
250	700	2089
251	703	2087
252	705	2081
253	706	2076
254	708	2070
255	710	2065
256	713	2061
257	715	2056
258	716	2051
259	718	2045
260	724	2050
261	725	2043
262	727	2038
263	729	2032
264	770	2138
265	773	2135
266	775	2129
267	783	2141
268	786	2137
269	788	2132
270	790	2126
271	793	2123
272	795	2117
273	796	2111
274	803	2118
275	806	2115
276	808	2110
277	810	2104
278	814	2103
279	816	2098
280	819	2097
281	821	2092
282	823	2087
283	829	2091
284	832	2087
285	834	2082
286	835	2076
287	840	2078
288	843	2076
289	845	2070
290	848	2066
291	850	2060
292	854	2061
293	856	2056
294	858	2051
295	860	2045
296	861	2040
297	868	2046
298	870	2040
299	872	2035
300	873	2029
301	875	2024
302	882	2029
303	883	2023
304	885	2017
305	887	2012
306	888	2006
307	895	2011
308	896	2005
309	898	2000
310	900	1994
311	902	1989
312	908	1993
313	909	1987
314	911	1982
315	913	1977
316	915	1972
317	922	1979
318	924	1973
319	926	1968
320	928	1964
321	934	1967
322	936	1962
323	938	1957
324	940	1952
325	947	1958
326	948	1953
327	950	1947
328	953	1943
329	954	1938
330	960	1940
331	962	1936
332	966	1935
333	972	1938
334	974	1933
335	976	1928
336	977	1923
337	979	1919
338	983	1918
339	986	1914
340	988	1909
341	990	1905
342	992	1900
343	995	1897
344	996	1892
345	998	1887
346	1003	1889
347	1005	1884
